OBJECTID;ISRETIRED;STATUS;SOURCEID;GUID;ERRORMESSAGE;CREATIONDATE;CREATOR;LASTUPDATE;UPDATEDBY;GLOBALID;ERRORCODE;STArea__;STLength__;Shape_Length;Shape_Area
1;1;8;10;{22C10CE9-7D90-4271-8EA5-43912228BF84};;2026-07-24 12:39:44;REDES;2026-07-24 12:39:44;REDES;{B0B54EBA-8D18-45EB-A52F-9A588C463E66};2;1,0404;4,08;4,079999999;1,0404
2;1;8;12;{0F533E70-6329-4D0C-BDB9-A35707C844A5};"25,9,{24154C2D-8682-41C4-BDAA-82465FF57E49};9,[RuleID(s) 1473,2098],10,{D9A5B14F-68FF-408D-AB6F-95F112E319D0};";2026-07-24 12:39:44;REDES;2026-07-24 12:39:44;REDES;{64D2C80F-18FD-4590-975D-5EF3EF123AD7};33554944;1,0404;4,08;4,079999998;1,040399999
3;1;8;9;{24154C2D-8682-41C4-BDAA-82465FF57E49};"25,12,{0F533E70-6329-4D0C-BDB9-A35707C844A5};9,[RuleID(s) 1473,2098],10,{D9A5B14F-68FF-408D-AB6F-95F112E319D0};";2026-07-24 12:39:44;REDES;2026-07-24 12:39:44;REDES;{9ED4CA15-1594-4526-B3B8-2A25FF092AFE};33554944;1,0404;4,08;4,079999998;1,040399999
4;1;8;10;{D9A5B14F-68FF-408D-AB6F-95F112E319D0};"9,[RuleID(s) 1473,2098],9,{24154C2D-8682-41C4-BDAA-82465FF57E49};9,[RuleID(s) 1473,2098],12,{0F533E70-6329-4D0C-BDB9-A35707C844A5};";2026-07-24 12:39:44;REDES;2026-07-24 12:39:44;REDES;{8492607D-BE4D-4932-AE48-F75DD014C367};512;1,05712568;4,6452;4,645199997;1,057125679
