RULETYPE,FROMFEATURECLASS,FROMASSETGROUP,FROMASSETTYPE,FROMTERMINAL,TOFEATURECLASS,TOASSETGROUP,TOASSETTYPE,TOTERMINAL,VIAFEATURECLASS,VIAASSETGROUP,VIAASSETTYPE,VIATERMINAL
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal siete,WaterLine,Cable de prueba,Orange,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal siete,WaterLine,Cable de prueba,Rosa,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal siete,WaterLine,Cable de prueba,Morado,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal siete,WaterLine,Cable de prueba,Rojo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal siete,WaterLine,Cable de prueba,Amarillo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Aguamarina,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Azul,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Bosque,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Verde,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Lavanda,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Orange,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Rosa,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Morado,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Rojo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal seis,WaterLine,Cable de prueba,Amarillo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Aguamarina,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Azul,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Bosque,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Verde,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Lavanda,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Orange,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Rosa,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Morado,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Rojo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal tres,WaterLine,Cable de prueba,Amarillo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Aguamarina,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Azul,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Bosque,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Verde,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Lavanda,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Orange,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Rosa,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Morado,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Rojo,,,,,
Junction Edge Connectivity,WaterDevice,Punto de prueba,Punto de prueba_Obsoleto,Terminal dos,WaterLine,Cable de prueba,Amarillo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tope de tubería,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Acoplamiento,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Codo,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapa de extremo,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Junta de expansión,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Brida,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Tubería general de agua,Producción,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapón,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Reductor,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Cruz con reducción,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T con reducción,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tornillo,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Manguito,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Toma,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Abrazadera para grifo,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio residencial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Servicio de muestreo,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Acometida,Se desconoce,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Tubería general de agua,Tubería de distribución,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,Tapping Sleeve,,WaterLine,Tubería general de agua,Transporte,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio de aire y vacío,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio de descarga,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio comercial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio de bomberos,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio de boca de incendios,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio industrial,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio de irrigación,,,,,
Junction Edge Connectivity,WaterJunction,Nudo,T,,WaterLine,Acometida,Servicio residencial,,,,,
